scene_id,start_time,end_time,source_type,flashcard_word,custom_image_path,image_prompt,reason,subtitle_reference
34,555,565,FLASHCARD,ant,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/ant.png,,解釋單字 ant 的意思並舉例,"[0:09:18.060000-->0:09:18.520000] Ant, | [0:09:18.840000-->0:09:19.440000] 名詞, | [0:09:19.640000-->0:09:20.100000] 馬語。 | [0:09:20.400000-->0:09:22.600000] Anantisatinyinsect。 | [0:09:23.220000-->0:09:25.560000] 馬語是一種微小的昆蟲。"
35,565,578,FLASHCARD,apple,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/apple.png,,解釋單字 apple 的意思並舉例,"[0:09:25.900000-->0:09:26.360000] 沒錯, | [0:09:26.860000-->0:09:28.580000] 還有我們常吃的水果。 | [0:09:28.580000-->0:09:29.760000] Apple, | [0:09:29.920000-->0:09:30.420000] 名詞, | [0:09:30.540000-->0:09:31.140000] 蘋果。 | [0:09:31.360000-->0:09:32.920000] 這個大家應該都會了。 | [0:09:33.140000-->0:09:34.620000] Anappleadaykeepsthe | [0:09:34.620000-->0:09:35.300000] doctoraway, | [0:09:35.800000-->0:09:36.740000] 一天一蘋果, | [0:09:36.820000-->0:09:37.820000] 一生遠離我。"
36,578,593,FLASHCARD,art,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/art.png,,解釋單字 art 的意思並舉例,"[0:09:38.180000-->0:09:38.480000] 對, | [0:09:38.840000-->0:09:40.300000] 那除了自然萬物, | [0:09:40.440000-->0:09:43.180000] 人類也創造了很棒的文化。 | [0:09:43.460000-->0:09:43.860000] Art, | [0:09:44.280000-->0:09:44.880000] 名詞, | [0:09:45.060000-->0:09:45.620000] 藝術。 | [0:09:46.120000-->0:09:46.240000] Art, | [0:09:46.780000-->0:09:47.600000] 藝術。 | [0:09:47.860000-->0:09:49.240000] Modernartcanbevery | [0:09:49.240000-->0:09:50.160000] thoughtprovoking, | [0:09:50.400000-->0:09:52.960000] 現代藝術可以非常引人深思。"
37,593,606,FLASHCARD,artist,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/artist.png,,解釋單字 artist 的意思並舉例,"[0:09:53.220000-->0:09:56.080000] 而創造藝術的人就是Artist, | [0:09:56.420000-->0:09:57] 名詞, | [0:09:57.240000-->0:09:57.900000] 藝術家。 | [0:09:57.900000-->0:10:00.060000] Sheisatalentedartist | [0:10:00.060000-->0:10:01.120000] whopaintsbeautiful | [0:10:01.120000-->0:10:01.780000] landscapes. | [0:10:02.360000-->0:10:04.400000] 她是一位才華洋溢的藝術家, | [0:10:04.660000-->0:10:05.960000] 畫著美麗的風景。"
38,606,621,FLASHCARD,Asian,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/Asian.png,,解釋單字 Asian 的意思並舉例,"[0:10:06.280000-->0:10:07.120000] 講到文化, | [0:10:07.220000-->0:10:11.100000] 我們身處的地區也有很豐富的歷史喔。 | [0:10:11.300000-->0:10:11.860000] Asian, | [0:10:12.060000-->0:10:12.800000] 形容詞, | [0:10:13.040000-->0:10:14.260000] 亞洲的。 | [0:10:14.400000-->0:10:15.300000] Asian, | [0:10:15.480000-->0:10:16.520000] manyAsiancountries | [0:10:16.520000-->0:10:18.160000] haverichculturalhistories, | [0:10:18.540000-->0:10:21.440000] 許多亞洲國家擁有豐富的文化歷史。"
39,621,636,FLASHCARD,April,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/April.png,,解釋單字 April 的意思並舉例,"[0:10:21.660000-->0:10:22.140000] 沒錯, | [0:10:22.660000-->0:10:24.300000] 那感受文化的時候, | [0:10:24.680000-->0:10:25.900000] 季節也很重要。 | [0:10:25.900000-->0:10:27.620000] 像是春天, | [0:10:27.700000-->0:10:28.440000] April, | [0:10:28.540000-->0:10:29.140000] 名詞, | [0:10:29.320000-->0:10:29.960000] 四月。 | [0:10:30.140000-->0:10:31.700000] Aprilismyfavoritemonth. | [0:10:32.060000-->0:10:34] 四月是我最喜歡的月份, | [0:10:34.380000-->0:10:36.040000] 春暖花開的感覺很棒。"
40,636,652,FLASHCARD,army,C:/Project/CAP_2000_Vocab_Project/workspace/Ep03_0061_0090/04_images/flashcards/army.png,,解釋單字 army 的意思並舉例,"[0:10:36.880000-->0:10:37.140000] 欸, | [0:10:37.140000-->0:10:37.340000] Mary, | [0:10:37.580000-->0:10:39.160000] 我剛剛在看清單的時候, | [0:10:39.240000-->0:10:41.200000] 發現還有一個字沒有講到。 | [0:10:41.320000-->0:10:41.880000] 哪一個字? | [0:10:42.040000-->0:10:43.080000] 是Army, | [0:10:43.300000-->0:10:43.820000] 名詞, | [0:10:44.040000-->0:10:45.260000] 軍隊這個字。 | [0:10:45.840000-->0:10:47.240000] Thearmyprotectsthe | [0:10:47.240000-->0:10:48.740000] countryfrominvaders. | [0:10:49.120000-->0:10:51.780000] 軍隊保護國家免受入侵者。"
41,652,680,AI,,,"An ancient warrior holding a spear, the warrior's arm morphs into the spear itself, showing the connection between arm and weapon, historical illustration style, aspect ratio 16:9, cinematic wide shot",用故事解釋 arm (手臂) 如何延伸出「武器」的含義,"[0:10:52.240000-->0:10:52.760000] 喔, | [0:10:52.860000-->0:10:53.300000] 對。 | [0:10:53.820000-->0:10:55.260000] 我有一個疑問欸。 | [0:10:55.260000-->0:10:56.400000] 這個Army, | [0:10:56.600000-->0:10:58.880000] 它跟前面我們提到的Arm, | [0:10:59.060000-->0:10:59.720000] 手臂, | [0:11:00-->0:11:01.200000] 長得好像喔, | [0:11:01.200000-->0:11:03.120000] 前面三個字母完全一樣。 | [0:11:03.380000-->0:11:04.360000] 這是巧合嗎? | [0:11:04.640000-->0:11:07.540000] 這真的是一個超級棒的問題欸。 | [0:11:07.700000-->0:11:08.600000] 真的有關係嗎? | [0:11:08.720000-->0:11:09.960000] 當然有關係啊, | [0:11:09.960000-->0:11:11.660000] 這絕對不是巧合喔。 | [0:11:11.760000-->0:11:13.740000] 你想像一下古代的戰爭。 | [0:11:13.960000-->0:11:14.360000] 嗯哼。 | [0:11:14.480000-->0:11:15.880000] 古代人在打仗的時候, | [0:11:16.060000-->0:11:18.020000] 手臂是不是要用來拿武器? | [0:11:18.140000-->0:11:18.400000] 對啊, | [0:11:18.460000-->0:11:18.940000] 拿刀、 | [0:11:19.080000-->0:11:19.880000] 拿劍之類的。 | [0:11:19.880000-->0:11:23.100000] 所以久而久之Arm這個字除了手臂,"
42,680,709,AI,,,"A group of silhouetted figures holding weapons (arms) merging together to form the bold letters of the word ARMY, dramatic lighting, aspect ratio 16:9, cinematic wide shot",用故事解釋一群拿著 arms (武器) 的人如何成為 army (軍隊),"[0:11:23.300000-->0:11:25.220000] 也延伸出了武器的意思。 | [0:11:25.500000-->0:11:25.600000] 哇, | [0:11:25.820000-->0:11:27.080000] 手臂變成武器。 | [0:11:27.260000-->0:11:27.600000] 沒錯。 | [0:11:27.940000-->0:11:31.800000] 那當一群人手上都拿著武器聚集在一起的時候, | [0:11:32.080000-->0:11:32.760000] 會變成什麼? | [0:11:32.940000-->0:11:34.480000] 就變成了一支軍隊啊。 | [0:11:34.520000-->0:11:35.500000] 完全正確。 | [0:11:35.720000-->0:11:37.280000] 所以一群拿著Arms, | [0:11:37.420000-->0:11:38.520000] 也就是武器的人, | [0:11:38.900000-->0:11:40.800000] 就變成了Army軍隊。 | [0:11:40.940000-->0:11:41.520000] 我的天啊, | [0:11:41.560000-->0:11:44.020000] 這根本是今天最大的頓悟欸。 | [0:11:44.340000-->0:11:47.280000] 原來軍隊就是一群武裝的手臂, | [0:11:47.440000-->0:11:48.900000] 這畫面感也太強了吧。 | [0:11:48.900000-->0:11:50.040000] 很有趣對吧?"
43,709,735,AI,,,"A dynamic, fast-paced montage of all the previous AI-generated images, like a recap reel, ending on the podcast logo, aspect ratio 16:9, cinematic wide shot",總結本集所有學到的單字與故事線,"[0:11:50.440000-->0:11:52.420000] 當你了解這個字根的連結, | [0:11:52.600000-->0:11:54.160000] 是不是瞬間就記住了, | [0:11:54.180000-->0:11:55.340000] 根本不用死背。 | [0:11:55.640000-->0:11:56.060000] 真的欸, | [0:11:56.180000-->0:11:59] 這就是為什麼我們要做這個深度解析, | [0:11:59.100000-->0:12:00.620000] 透過字元跟故事, | [0:12:00.800000-->0:12:01.980000] 一切都變得超合理。 | [0:12:02.160000-->0:12:02.480000] 沒錯, | [0:12:02.760000-->0:12:04.560000] 這也就是語言迷人的地方。 | [0:12:04.840000-->0:12:07.920000] 不知不覺我們今天居然已經透過故事跟聯 | [0:12:07.920000-->0:12:08.040000] 想, | [0:12:08.140000-->0:12:11.200000] 把這30個超級核心的單字都吸收進去了 | [0:12:11.200000-->0:12:11.460000] 欸。 | [0:12:11.600000-->0:12:12.740000] 正在聽節目的你, | [0:12:12.760000-->0:12:14.880000] 真的要給自己一個大大的掌聲喔。"
44,735,762,AI,,,"A glowing letter 'A' at the start of a path, with the words 'Apologize' and 'Appreciate' acting as the first two paving stones leading to a bright, friendly handshake, aspect ratio 16:9, cinematic wide shot",延伸討論，將A開頭的單字連結到「開啟良好關係」的概念,"[0:12:15.080000-->0:12:17.440000] 這十幾分鐘的學習效率超級高喔。 | [0:12:17.440000-->0:12:17.780000] 對啊, | [0:12:17.800000-->0:12:19.600000] 從Annie這個擺搭牌, | [0:12:19.860000-->0:12:22.500000] 到交朋友吵架的情緒變化, | [0:12:22.700000-->0:12:23.660000] 然後回家休息, | [0:12:23.760000-->0:12:25.280000] 再到大自然跟藝術, | [0:12:25.380000-->0:12:28.360000] 最後還有那個超震撼的軍隊與手臂的關係。 | [0:12:28.660000-->0:12:28.780000] 嗯, | [0:12:28.860000-->0:12:30.260000] 而且大家有沒有發現, | [0:12:30.640000-->0:12:33.500000] 英文的A剛好也是字母表的第一個字母。 | [0:12:33.700000-->0:12:34.140000] 對欸, | [0:12:34.240000-->0:12:35.080000] 開頭的意思。 | [0:12:35.280000-->0:12:35.560000] 沒錯, | [0:12:35.920000-->0:12:37.780000] 其實今天學到的很多字, | [0:12:38.120000-->0:12:39.720000] 不管是Apologize, | [0:12:39.880000-->0:12:40.420000] 道歉, | [0:12:40.600000-->0:12:41.680000] 還是Appreciate, | [0:12:41.880000-->0:12:42.440000] 感激,"
45,762,789,AI,,,"A diverse group of people in a normal daily setting (office, cafe) sincerely smiling and thanking each other, with small, glowing 'appreciate' text bubbles appearing above them, aspect ratio 16:9, cinematic wide shot",鼓勵聽眾在生活中多加運用 appreciate,"[0:12:42.580000-->0:12:46.300000] 都是用來開啟一段良好人際關係的開頭喔。 | [0:12:46.300000-->0:12:49.020000] 其實語言不只是單字而已啦, | [0:12:49.020000-->0:12:51.800000] 它也反映了我們怎麼看待這個世界。 | [0:12:52.360000-->0:12:53.960000] 如果我們今天在生活中, | [0:12:54.100000-->0:12:57.040000] 試著對身邊的人多一點Appreciate, | [0:12:57.180000-->0:12:58.860000] 多表達一點感激, | [0:12:59.080000-->0:13:01.800000] 是不是也會開啟很不一樣的互動呢? | [0:13:02.300000-->0:13:02.660000] 真的, | [0:13:03.280000-->0:13:06.500000] 這是一個很值得大家去試試看的行動喔, | [0:13:06.700000-->0:13:09.560000] 把學到的英文精神直接用在生活裡。"
46,789,814,AI,,,"The two podcast hosts waving goodbye from their studio, with the podcast logo and 'Subscribe Now' text overlayed in a clean, modern font, aspect ratio 16:9, cinematic wide shot",結尾與頻道宣傳,"[0:13:09.900000-->0:13:10.240000] 沒錯。 | [0:13:10.760000-->0:13:11.200000] 好啦, | [0:13:11.400000-->0:13:14.080000] 那我們今天的深度解析就到這邊告一段落 | [0:13:14.080000-->0:13:14.500000] 了。 | [0:13:14.580000-->0:13:15.360000] 會考戰士們, | [0:13:15.460000-->0:13:17.300000] 你們真的超棒的。 | [0:13:17.440000-->0:13:19.160000] 大家記得要訂閱頻道, | [0:13:19.480000-->0:13:21.640000] 持續鎖定我們的後續集數喔, | [0:13:21.760000-->0:13:25.320000] 讓零碎時間變成你最強的提分武器。 | [0:13:25.840000-->0:13:27.160000] 帶著這些有趣的故事, | [0:13:27.420000-->0:13:30.240000] 下次看到單字絕對會有不一樣的感覺啦。 | [0:13:30.600000-->0:13:31.380000] 大家繼續加油, | [0:13:31.680000-->0:13:32.420000] 我們下次見。 | [0:13:32.880000-->0:13:33.620000] 下次見囉, | [0:13:33.760000-->0:13:34.140000] 掰掰。"
